SMILES,Adduct,True CCS
CC/C(=C(\C(=O)N/C(=C/C(=O)O)/C(=O)O)/NC(=O)[C@@H]1C=CCN1C(=O)[C@@H]2[C@@](OC3=C(C(=CC(=C3)[C@@H]([C@@H](C(=O)N[C@H](C(=O)N2)C(=C)C)NC)O)Cl)O)(C)CC)/C,[M+H]+,263.4
CC(C)(C=C)[C@@]12C[C@H]3C(=O)N/C(=C/C4=CN=CN4)/C(=O)N3[C@@H]1NC5=CC=CC=C25,[M-H]-,199.1
CC1CCC2C(C(CCC2(C13CC4=C(C=C5C(=C4O3)CNC5=O)O)C)O)(C)C,[M+Na]+,219.4
CC1CCC2C(C(CCC2(C13CC4=C(C=C5C(=C4O3)CNC5=O)O)C)O)(C)C,[M-H]-,200.3
CC1CCC2C(C(CCC2(C13CC4=C(C=C5C(=C4O3)CNC5=O)O)C)O)(C)C,[M+H]+,197.3
COC1=C2C(=C3[C@@H]4C=CO[C@@H]4OC3=C1)OC5=CC=CC(=C5C2=O)O,[M+Na]+,184.7
CC1=C[C@@H]2[C@]([C@@]3(C)[C@H](OC(C)=O)[C@@H](O[C@]4([H])[C@H](O)[C@@H](O)[C@H](O)[C@@H](CO)O4)[C@@H](O2)[C@@]35CO5)(COC(C)=O)C[C@@H]1OC(CC(C)C)=O,[M-H]-,246.1
CC1=C[C@@H]2[C@]([C@@]3(C)[C@H](OC(C)=O)[C@@H](O[C@]4([H])[C@H](O)[C@@H](O)[C@H](O)[C@@H](CO)O4)[C@@H](O2)[C@@]35CO5)(COC(C)=O)C[C@@H]1OC(CC(C)C)=O,[M+Na]+,242.1
CC1=C[C@@H]2[C@]([C@@]3(C)[C@H](OC(C)=O)[C@@H](O[C@]4([H])[C@H](O)[C@@H](O)[C@H](O)[C@@H](CO)O4)[C@@H](O2)[C@@]35CO5)(COC(C)=O)C[C@@H]1OC(CC(C)C)=O,[M+H]+,244.6
CC1=C[C@@H]2[C@](COC(C)=O)(C[C@@H]1OC(CC(C)C)=O)[C@]3([C@@H]([C@H]([C@H]([C@@]34CO4)O2)O[C@]5([C@@H]([C@H]([C@@H]([C@H](O5)CO)O)O)O)[H])OC(C)=O)C,[M-H]-,249.8
CC1=C[C@@H]2[C@](COC(C)=O)(C[C@@H]1OC(CC(C)C)=O)[C@]3([C@@H]([C@H]([C@H]([C@@]34CO4)O2)O[C@]5([C@@H]([C@H]([C@@H]([C@H](O5)CO)O)O)O)[H])OC(C)=O)C,[M+Na]+,247.7
CC1=C[C@@H]2[C@](COC(C)=O)(C[C@@H]1OC(CC(C)C)=O)[C@]3([C@@H]([C@H]([C@H]([C@@]34CO4)O2)O[C@]5([C@@H]([C@H]([C@@H]([C@H](O5)CO)O)O)O)[H])OC(C)=O)C,[M+H]+,242.2
CC1=C[C@@H]2[C@](C[C@@H]1OC(=O)CC(C)C)([C@]3([C@@H]([C@H]([C@H]([C@@]34CO4)O2)O)OC(=O)C)C)COC(=O)C,[M+H]+,202.4
C[C@H]1C(=O)N[C@H](C(=O)N(/C(=C\C2=CC=CC=C2)/C(=O)NCC(=O)N1C)C)CC(C)C,[M-H]-,199.5
C[C@H]1C(=O)N[C@H](C(=O)N(/C(=C\C2=CC=CC=C2)/C(=O)NCC(=O)N1C)C)CC(C)C,[M+Na]+,199
CCC(C)C1C(=C(C(=O)N1)C(=O)C)O,[M-H]-,144.1
CCC(C)C1C(=C(C(=O)N1)C(=O)C)O,[M+Na]+,151.8
CC1=C[C@@H]2[C@](CC1)([C@]3([C@@H](C[C@H]([C@@]34CO4)O2)O)C)CO,[M+Na]+,171.7
CC1=C[C@@H]2[C@](CC1)([C@]3([C@@H](C[C@H]([C@@]34CO4)O2)O)C)CO,[M+H]+,157.2
CC(=C[C@@H]1N2C3=C(C=CC(=C3)OC)C4=C2[C@H](CC(OO1)(C)C)N5C(=O)[C@@H]6CCCN6C(=O)[C@@]5([C@H]4O)O)C,[M+Na]+,235.4
CC(=C[C@@H]1N2C3=C(C=CC(=C3)OC)C4=C2[C@H](CC(OO1)(C)C)N5C(=O)[C@@H]6CCCN6C(=O)[C@@]5([C@H]4O)O)C,[M-H]-,230.2
C[C@H]1CCC[C@@H](CCC/C=C/C2=C(C(=CC(=C2)O)O)C(=O)O1)O,[M+H]+,174
C[C@H]1CCC[C@@H](CCC/C=C/C2=C(C(=CC(=C2)O)O)C(=O)O1)O,[M+Na]+,179.7
C[C@H]1CCC[C@H](CCC/C=C/C2=C(C(=CC(=C2)O)O)C(=O)O1)O,[M+H]+,174
C[C@H]1CCC[C@H](CCC/C=C/C2=C(C(=CC(=C2)O)O)C(=O)O1)O,[M+Na]+,181
C[C@H]1CCCC(=O)CCC/C=C/C2=C(C(=CC(=C2)O)O)C(=O)O1,[M+Na]+,178.3
C[C@H]1CCCC(CCC/C=C/C2=C(C(O1)=O)C(O)=CC(OC3OC(CO)C(O)C(O)C3O)=C2)=O,[M+Na]+,215.8
C/C(=C\1/C(=O)[C@@H]2[C@@H]3[C@@H](CC4=C5C3=CNC5=CC=C4)C(N2C1=O)(C)C)/O,[M-H]-,174
CCCC[C@H]([C@@H](O)[C@@H](O)C[C@H](CCCCCCCC[C@H](O)[C@@H](N)C)C)C,[M+H]+,201
OC1=CC(O)=C(C(C2=C(C=C(C=C2O3)O[C@@H]4OC(C(O)=O)[C@@H](O)C(O)C4O)C)=C1)C3=O,[M-H]-,187
OC1C(O)[C@H](O)C(C(O)=O)O[C@H]1OC2=CC(O)=C3C(C4=C(C)C=C(O)C=C4OC3=O)=C2,[M-H]-,195
OC1=CC(C)=C(C2=CC(OC)=CC(OC3OC(C(O)=O)C(O)C(O)C3O)=C24)C(OC4=O)=C1,[M-H]-,193
CC1=C(C2=CC(OC)=CC(O)=C23)C(OC3=O)=CC(OC4C(C(C(C(O4)C(O)=O)O)O)O)=C1,[M-H]-,200
C[C@H]1CCCC(CCC/C=C/C2=C(C(O1)=O)C(O)=CC(OC3OC(CO)C(O)C(O)C3O)=C2)=O,[M-H]-,213
C[C@H]1CCCC(CCC/C=C\C2=C(C(O1)=O)C(OC3OC(CO)C(O)C(O)C3O)=CC(O)=C2)=O,[M-H]-,216
C[C@H]1CCCC(=O)CCC/C=C\C2=C(C(=CC(=C2)O[C@H]3[C@@H]([C@H]([C@@H]([C@H](O3)C(=O)O)O)O)O)O)C(=O)O1,[M-H]-,220
CCCC[C@@H](OC(CC(C(O)=O)CC(O)=O)=O)[C@H]([C@@H](C)C[C@@H](C)C[C@H](O)CCCC[C@@H](O)C[C@H](O)[C@@H](NCC(C(C(C(CO)O)O)O)=O)C)OC(CC(C(O)=O)CC(O)=O)=O,[M+H]+,287
CCCC[C@@H](OC(CC(C(O)=O)CC(O)=O)=O)[C@H]([C@@H](C)C[C@@H](C)C[C@H](O)CCCC[C@@H](O)C[C@H](O)[C@@H](NCC(C(C(C(CO)O)O)O)=O)C)OC(CC(C(O)=O)CC(O)=O)=O,[M+Na]+,290.7
