CCS,Adduct,SMILES
161.41,[M+H]+,COc1ccccc1OCCC(=O)Nc1scc(n1)C
205.72,[M-H]-,COc1ccc(cc1)C1(NC(=O)N(C1=O)CC(=O)N1CCCC1)c1ccc(cc1)OC
179.63,[M-H]-,COC(=O)CCN1C(=O)NC(C1=O)(C)c1ccc2c(c1)cccc2
177.18,[M+H]+,Cc1cnc(cn1)C(=O)Oc1ccc(cc1)c1ccccc1
211.94,[M+Na]+,CCCN(C(=O)CN1CCN(CC1)c1ccccc1C)Cc1nnc(o1)c1cccs1
149.86,[M+H]+,C1(c2ccccc2)(C(=O)NC(=O)N1)CC
195.16,[M-H]-,COc1ccc(cc1)OC(C(=O)N1Cc2ccccc2CC1C(=O)N)C
174.13,[M-H]-,CCOc1ccccc1NC(=O)Cn1c(C)nc2c1cccc2
164.3,[M-H]-,C=C(C(=O)O)OP(O)(O)=O
190.26,[M-H]-,COc1cccc(c1OC)C=CC(=O)Nc1ccccc1c1ccccc1
212.91,[M+Na]+,CCCn1c(SCC(=O)Nc2sc3c(c2C(=O)OC(C)C)CCCC3)nc(cc1=O)O
209.68,[M+Na]+,Cc1ccc(c(c1)S(=O)(=O)N1CCN(CC1)C(=O)CCc1ncc(o1)c1ccccc1)C
208.33,[M+Na]+,O=C(CC(c1ccc(cc1)Cl)NC(=O)C)NCC(c1ccccc1)N1CCCC1
179.71,[M+H]+,O=C(N(C)C)CSc1nnc(o1)c1sc2c(c1Cl)cccc2
205.82,[M-H]-,C=CCn1c(C)cc(c1C)C(=O)CSc1nnc(n1Cc1ccccc1)c1ccco1
209.8,[M+Na]+,O=C(C(c1ccccc1)Sc1nnnn1c1ccc(cc1)C(C)C)N1CCOCC1
219.38,[M-H]-,O=C(CSc1nnc(n1c1ccccc1)c1cccs1)NCC1COc2c(O1)cccc2
206.23,[M+Na]+,O=C(Nc1cccnc1Cl)COC(=O)c1ccc(cc1)c1ccc(cc1)O
197.74,[M+Na]+,CCOc1ccc(cc1OC)C(=O)N(Cc1ccc2c(c1)OCO2)C
191.88,[M-H]-,O=C(N(C1CC1)Cc1ccccc1F)c1cccc(c1)S(=O)(=O)NC1CC1
213.39,[M+Na]+,CCC(c1nnc(s1)NC(=O)c1cc2cnn(c2nc1C)C(C)C)CC
180.44,[M-H]-,Clc1ccc(c(c1)Cl)CN1C(=O)NC(C1=O)(C)c1ccccc1
224.78,[M-H]-,O=C1CCC(=O)N1c1ccc(cc1)C(=O)N(C1CCCC1)Cc1ccc2c(c1)OCO2
165.6,[M+H]+,COC1=C(C=C2C(=CC(=O)OC2=C1OC)C3=CC=CC=C3)O
181.85,[M+H]+,c1ccc(cc1)c1nnc(o1)CSc1nncn1Cc1ccco1
168.06,[M-H]-,CNC(=O)c1ccc(cc1)NC(=O)c1cccc(c1)C#N
182.5,[M-H]-,O=C(NC1CCCCCCC1)CCc1nc2ccccc2[nH]c1=O
198.98,[M+Na]+,O=C(Cc1ccc(c(c1)C)C)Nc1ccc(c(c1)S(=O)(=O)N(C)C)C
178.28,[M+H]+,O=C(c1ccc(cc1)OC(F)(F)F)N1CCN(CC1)c1ncccn1
166.32,[M+H]+,CC(c1ccc(cc1)NC(=O)Cc1ccccc1)C
185.52,[M-H]-,Clc1ccc(c(c1)NC(=O)c1c(C)onc1c1ccccc1)n1ncnc1
214.19,[M-H]-,CSc1ncc(n1c1ccc(cc1)F)C(=O)NCc1ccccc1S(=O)(=O)N1CCOCC1
231.29,[M+Na]+,O=C(c1cccnc1N1CCCC1)N1CCN(CC1)Cc1ccc2c(c1)CCO2
200.52,[M+Na]+,COc1cc(cc2c1OCCO2)C(=O)NC(c1cccc2c1cccc2)C
154.9,[M+H]+,N#Cc1c(cccc1Cl)Sc1nnc(s1)C
214.49,[M+Na]+,NC(=O)COc1ccc2c(c1)oc(c(c2=O)Oc1ccc(cc1)c1ccccc1)C
190.52,[M+Na]+,COc1cc(ccc1OCc1ccccc1)C(=O)N1CC(C)OC(C1)C
219.64,[M+Na]+,Fc1ccc(cc1)Cn1nc(c2c1sc(c2)C(=O)NCC(c1cccs1)N1CCOCC1)C
201.9,[M+Na]+,CCN(S(=O)(=O)c1ccc2c(c1)CCN2Cc1nnnn1c1ccccc1)CC
165.03,[M+Na]+,O=C(Cn1cc(ccc1=O)C(F)(F)F)NCC(F)(F)F
212.3,[M+Na]+,CC1CCC(CC1)NC(=O)COC(=O)c1c(C)nn(c1C)c1ccccc1
200.11,[M+H]+,O=C(Nc1ccccc1C)Cc1scc(n1)Cn1nnc(n1)c1ccccc1
179.07,[M-H]-,CSCCC1NC(=O)N(C1=O)CC(=O)Nc1ccc(c(c1F)F)F
210.62,[M-H]-,O=S(=O)(c1nc(oc1N1CCN(CC1)Cc1ccccc1)c1ccccc1)c1ccccc1
186.09,[M+H]+,O=C(c1cccnc1Sc1ccccc1)Nc1ccnn1Cc1ccco1
214.88,[M+H]+,CCOC(=O)C1CCCCN1C(=O)CSc1nnc(n1c1ccccc1OC)N1CCCCC1
207.83,[M-H]-,Cc1ccc(c(c1)C)N1C(=O)CC(C1=O)N1CCc2c(C1)cccc2
196.64,[M+H]+,COc1ccc(cc1)n1ccnc1SC(c1nnc(o1)c1ccccc1)C
207.98,[M+Na]+,Fc1ccc(cc1)n1c(SCC(=O)N2CCN(CC2)C(=O)c2ccco2)nc2c(c1=O)cccc2
195.74,[M+H]+,COc1ccc(cc1)NC(=O)CN(c1nc2cc(nn2c2c1cccc2)C)C
278.8,[M+Na]+,[C@](COP(=O)([O-])OCC[N+](C)(C)C)([H])(NC(CCCCCCCCCCCCCCCCC)=O)[C@]([H])(O)/C=C/CCCCCCCCCCC
188.85,[M-H]-,O=C1CC(C)N(c2c(N1)cccc2)C(=O)Cn1nnc(n1)c1ccsc1
182.83,[M+H]+,CCN(CCCNC(=O)c1ccc(cc1)S(=O)(=O)N(C)C)CC
202.17,[M+Na]+,CCCC1(NC(=O)N(C1=O)CC(=O)c1ccc2c(c1)CCC2)c1ccccc1
187.91,[M+Na]+,O=C(C(Sc1nc2sccc2c(=O)[nH]1)C)Nc1cccc(c1)C(=O)C
294.34,[M+Na]+,[C@](COP(=O)(O)OCCN)([H])(OC(CCCCCCCCC/C=C\C/C=C\CCCCC)=O)COC(CCCCC/C=C\C/C=C\C/C=C\C/C=C\CCCCC)=O
156.14,[M+H]+,COc1ccccc1C=CC(=O)c1ccccc1
206.51,[M+H]+,Fc1ccc(cc1)n1nc(nc1C)C(=O)OC(C(=O)N1CCCCC1)c1ccccc1
198.6,[M+Na]+,O=C(CN1C(=O)NC2(C1=O)CCCc1c2cccc1)Nc1ccccc1Br
217.86,[M+Na]+,Clc1cc(cc(c1)Cl)NC(=O)C(c1ccccc1)NCc1nc2c(n1C)cccc2
202.96,[M-H]-,CC(c1ccc(cc1)C1(C)NC(=O)N(C1=O)C(C(=O)N1CCCC1)c1ccccc1)C
197.81,[M+Na]+,CCCNC(=O)C1CCCN1C(=O)NC12CC3CC(C2)CC(C1)C3
183.65,[M+H]+,O=C(C1CC1)Nc1ccc(cc1)C(=O)Nc1ccc2c(c1)cccc2
198.99,[M-H]-,O=C(NC1CCCc2c1cccc2)CN1C(=O)NC2(C1=O)CCCCCCC2
302.22,[M+Na]+,CC=CCC=CCC=CCC=CCC=CCCC(=O)OCC(COC(=O)CC=CCC=CCC=CCC=CCC=CC)OC(=O)CC=CCC=CCC=CCC=CCC=CC
290.646913,[M-H]-,CCCCCCCCCCCCCC(=O)SCCNC(=O)CCNC(=O)C(C(C)(C)COP(=O)(O)OP(=O)(O)OC[C@@H]1[C@H]([C@H]([C@@H](O1)N2C=NC3=C2N=CN=C3N)O)OP(=O)(O)O)O
184.93,[M+Na]+,O=C(c1ccco1)N1CCN(CC1)C(=O)c1c(C)onc1c1ccccc1Cl
198.66,[M+Na]+,CCC1(NC(=O)N(C1=O)CC(=O)N(Cc1c(F)cccc1Cl)C)c1ccccc1
191.41,[M+H]+,O=C1CCCN1CCCNC(=O)c1cc2c(n1C)nc1n(c2=O)cccc1
193.83,[M-H]-,O=C(Nc1ccccc1c1ccccc1)Cc1nc(oc1C)c1ccccc1
226.13,[M-H]-,O=C(Nc1cccc(c1)N1CCCC1=O)COC(=O)c1ccccc1c1ccc(cc1)Cn1cccn1
191.71,[M+H]+,CN(C(=O)CN(Cc1ccc(cc1)C)C)CC(=O)Nc1c(C)cccc1C
189.13,[M+Na]+,CC1OCCN(C1)Cn1nc(n(c1=S)c1ccccc1)c1ccncc1
189.04,[M-H]-,O=C(c1ccc(cc1)c1ccc(cc1)O)OCC(=O)N1CCCC1
159.8423578,[M+H]+,C1=CC=C(C=C1)CC(=O)N[C@@H](CCC(=O)N)C(=O)O
179.79,[M+H]+,N#CCSc1nnc2n1c1ccccc1c(=O)n2c1c(C)cccc1C
179.77,[M+Na]+,CN(C(=O)CCCn1c(=O)c2cccc3c2c(c1=O)ccc3)C
204.63,[M-H]-,CCCN(S(=O)(=O)c1c(C)c(C)cc(c1C)C)Cc1nnc(o1)c1cccs1
199.18,[M+Na]+,CC(C(=O)Nc1sc2c(c1C(=O)N)CCC2)OC(=O)c1ccncc1
157.8,[M-H]-,Clc1ccc(cn1)C(=O)Nc1ccc2c(c1)OCO2
167.73,[M-H]-,COc1cccc(c1O)C=C1C(=O)Nc2c1ccc(c2)Cl
193.42,[M+H]+,O=C(NCc1ccccc1)CCCn1c(=O)c2cccc3c2c(c1=O)ccc3
164.56,[M+H]+,Cc1ccc(cc1F)c1noc(n1)CN1CCOCC1
189.33,[M+H]+,O=C(NC12CC3CC(C2)CC(C1)C3)CNC(=O)c1ccc(s1)C
178.63,[M-H]-,CC(NC(=O)CN1C(=O)NC(C1=O)(C)c1cccc(c1)Br)C
193.17,[M-H]-,O=C(C1CC(=O)N(C1)Cc1ccco1)Nc1ccc(cc1)c1nccs1
233.46,[M-H]-,O=C(N1CCN(CC1)C(=O)c1ccco1)CSc1nnc(n1c1ccccc1)C1COc2c(O1)cccc2
191.87,[M+Na]+,O=C(Nc1c(=O)n(n(c1C)C)c1ccccc1)CCOc1ccccc1
199.8,[M+H]+,Fc1ccc(cc1)S(=O)(=O)N1CCN(CC1)C(=O)c1ccc(cc1)n1cccn1
211.68,[M+Na]+,O=C(Nc1noc(c1)C)COC(=O)c1c(C)nn(c1C)Cc1ccccc1Cl
170.11,[M-H]-,COCCOc1ccc(cc1NC(=O)c1ccco1)C(F)(F)F
178.5,[M-H]-,O=c1[nH]c2c(o1)cc(cc2)c1csc(n1)Nc1ccccc1
205.86,[M+H]+,O=C(Nc1ccccc1c1ccccc1)CSc1ccc(cn1)S(=O)(=O)N(C)C
146.32,[M+Na]+,O=P(OC)(OC)O/C(C)=C/C(NC)=O
175.8,[M-H]-,CC(=O)Nc1ccc(cc1Cl)NC(=O)C1CC2CC1C=C2
181.61,[M+H]+,COc1ccc(cc1)C1(CC)NC(=O)N(C1=O)Cc1c(F)cccc1Cl
169.55,[M+H]+,N#Cc1cccnc1N1CCN(CC1)Cc1ccccc1
185.8,[M+Na]+,COc1c(cccc1OC)CCC(=O)Nc1ccc2c(c1)OCCCO2
212.95,[M-H]-,O=C(C1CCCN1S(=O)(=O)c1ccc(cc1)C)NCc1ccccc1CN1CCOCC1
205.57,[M+H]+,O=C(N(C1CCCC1)Cc1ccc2c(c1)OCO2)c1cccc(c1)OCc1c(C)noc1C
180.63,[M-H]-,O=C(Nc1ccc(cc1C)C)CNC(=O)C1CCCCC1
215.4,[M-H]-,COc1cc(ccc1OC)c1csc2c1c(nc(n2)C)N1CCCC(C1)C(=O)N1CCOCC1
216.56,[M+H]+,COc1ccc(cc1C(=O)NCC(c1ccccc1)c1ccccc1)S(=O)(=O)N1CCOCC1
195.59,[M-H]-,COC(=O)c1ccc(cc1)COC(=O)c1[nH]c(c(c1C)C(=O)OC)CC
176.52,[M-H]-,COc1cc(ccc1OC(F)F)C(=O)Nc1sc(c(n1)C)C
187.46,[M+Na]+,CCn1c(SCC(=O)N2CCSC2c2ccccc2F)nnc1C1CC1
209.82,[M-H]-,O=c1ccc(cn1Cc1c(nc2n1cccc2)c1ccccc1)S(=O)(=O)N1CCCC1
184.84,[M+H]+,CCCN(C(=O)c1ccc(cc1)n1cccn1)Cc1nnc(o1)c1ccco1
180.8,[M+H]+,C=CCN1C(=O)c2c(C1=O)cc(cc2)C(=O)N1CCCCCC1
169.15,[M+Na]+,O=C(C(Cc1ccccc1)NC(=O)N)N1CCCCC1
204.92,[M-H]-,CCC(C(N(C)C)CNc1cnn(c(=O)c1Cl)c1ccc(cn1)C(F)(F)F)CC
209.81,[M-H]-,O=C(Nc1c(C)cccc1C)CNC(=O)C(N1CCN(CC1)c1ccccc1)C
163.11,[M-H]-,COc1cc(cc(c1Br)OC)C(=O)NCC=C
